index,user_id,comment,label_AB,label_AC,label_BC
6,privatebanker,"
would choose middlebury or haverford in a heartbeat over smith if the financial equation were level. Miidd is in the super elite lac division and haverford is close. Smith was but is no longer. Still great especially with the money. It still has cachet too don’t get me wrong.  I would t make any of these choices around softball unless they were contingent for acceptance. Also if your D is lgbt Smith and Northampton are very accepting communities. As are the others too.
Smith for the finances.  Middlebury for overall.  Haverford if she really wants an intellectual journey.

",2,2,1
6,privatebanker,"
would choose middlebury or haverford in a heartbeat over smith if the financial equation were level. Miidd is in the super elite lac division and haverford is close. Smith was but is no longer. Still great especially with the money. It still has cachet too don’t get me wrong.  I would t make any of these choices around softball unless they were contingent for acceptance. Also if your D is lgbt Smith and Northampton are very accepting communities. As are the others too.
Smith for the finances.  Middlebury for overall.  Haverford if she really wants an intellectual journey.

",2,2,1
6,privatebanker,"
would choose middlebury or haverford in a heartbeat over smith if the financial equation were level. Miidd is in the super elite lac division and haverford is close. Smith was but is no longer. Still great especially with the money. It still has cachet too don’t get me wrong.  I would t make any of these choices around softball unless they were contingent for acceptance. Also if your D is lgbt Smith and Northampton are very accepting communities. As are the others too.
Smith for the finances.  Middlebury for overall.  Haverford if she really wants an intellectual journey.

",2,2,2
8,collegemom3717,"
The challenge of sports as a decision variable is that it is really hard to guess which kid is going to stay with their sport when they get to college. We have seen so many, many students who were 100% sure that they were going to be just as committed to their sport in college as they were in HS, and then drop it before the end of the first year. Not to mention the ones who get injured and have to stop playing.
Haverford & Smith are different enough that I would go by how she feels when she is on campus: go for the overall fit first: it is likely to matter longer than the sport angle. .

",1,0,2
8,collegemom3717,"
The challenge of sports as a decision variable is that it is really hard to guess which kid is going to stay with their sport when they get to college. We have seen so many, many students who were 100% sure that they were going to be just as committed to their sport in college as they were in HS, and then drop it before the end of the first year. Not to mention the ones who get injured and have to stop playing.
Haverford & Smith are different enough that I would go by how she feels when she is on campus: go for the overall fit first: it is likely to matter longer than the sport angle. .

",1,3,2
8,collegemom3717,"
The challenge of sports as a decision variable is that it is really hard to guess which kid is going to stay with their sport when they get to college. We have seen so many, many students who were 100% sure that they were going to be just as committed to their sport in college as they were in HS, and then drop it before the end of the first year. Not to mention the ones who get injured and have to stop playing.
Haverford & Smith are different enough that I would go by how she feels when she is on campus: go for the overall fit first: it is likely to matter longer than the sport angle. .

",0,3,0
9,sugarski,"
“Miidd is in the super elite lac division and haverford is close. Smith was but is no longer. Still great especially with the money. It still has cachet too don’t get me wrong.”
OK I know I should let this one go by but…care to explain what you mean by that, @privatebanker?

",0,0,0
9,sugarski,"
“Miidd is in the super elite lac division and haverford is close. Smith was but is no longer. Still great especially with the money. It still has cachet too don’t get me wrong.”
OK I know I should let this one go by but…care to explain what you mean by that, @privatebanker?

",0,0,3
9,sugarski,"
“Miidd is in the super elite lac division and haverford is close. Smith was but is no longer. Still great especially with the money. It still has cachet too don’t get me wrong.”
OK I know I should let this one go by but…care to explain what you mean by that, @privatebanker?

",2,1,2
10,arcadia,"
Middlebury has been making significant investments in the sciences over the past 20 years, hiring new faculty, building an incredible science center, and purchasing equipment that is the envy of many a small college. I believe they recently purchased a research boat that will cruise Lake Champlain. Don’t underestimate Middlebury when it comes to the sciences.

",2,0,1
10,arcadia,"
Middlebury has been making significant investments in the sciences over the past 20 years, hiring new faculty, building an incredible science center, and purchasing equipment that is the envy of many a small college. I believe they recently purchased a research boat that will cruise Lake Champlain. Don’t underestimate Middlebury when it comes to the sciences.

",2,0,1
10,arcadia,"
Middlebury has been making significant investments in the sciences over the past 20 years, hiring new faculty, building an incredible science center, and purchasing equipment that is the envy of many a small college. I believe they recently purchased a research boat that will cruise Lake Champlain. Don’t underestimate Middlebury when it comes to the sciences.

",2,0,1
11,gardenstategal,"
If softball is something that gives her joy and is something she wants to do, going to a school where she can’t do that isn’t a great idea.  Although she should also fully understand that having decided not to go through the cycle as a recruit,  the coaches may have obligations to players who did (at least for this year) so she should make sure she knows where she stands with them (which it sounds like where she is with Midd.)  It sounds like Haverford is in the sweet spot.
These schools all have different environments.  How did they feel to her? If she goes to H, can she do a semester/year elsewhere (abroad) in marine biology?

",0,2,2
11,gardenstategal,"
If softball is something that gives her joy and is something she wants to do, going to a school where she can’t do that isn’t a great idea.  Although she should also fully understand that having decided not to go through the cycle as a recruit,  the coaches may have obligations to players who did (at least for this year) so she should make sure she knows where she stands with them (which it sounds like where she is with Midd.)  It sounds like Haverford is in the sweet spot.
These schools all have different environments.  How did they feel to her? If she goes to H, can she do a semester/year elsewhere (abroad) in marine biology?

",1,2,2
11,gardenstategal,"
If softball is something that gives her joy and is something she wants to do, going to a school where she can’t do that isn’t a great idea.  Although she should also fully understand that having decided not to go through the cycle as a recruit,  the coaches may have obligations to players who did (at least for this year) so she should make sure she knows where she stands with them (which it sounds like where she is with Midd.)  It sounds like Haverford is in the sweet spot.
These schools all have different environments.  How did they feel to her? If she goes to H, can she do a semester/year elsewhere (abroad) in marine biology?

",0,0,2
34,momcinco,"
Thanks for coming back – please let us know the final decision.  She has some great options, now it is just a matter of choosing.

",0,0,0
34,momcinco,"
Thanks for coming back – please let us know the final decision.  She has some great options, now it is just a matter of choosing.

",0,0,0
34,momcinco,"
Thanks for coming back – please let us know the final decision.  She has some great options, now it is just a matter of choosing.

",2,2,2
35,worelyclan,"
@OldbatesieDoc you are right to beware the angry coach.  I have two small college athletes and have been through this process.  That can cause a lot of problems.
As for the schools, I side with the crowd of not basing a life-long decision with the vagaries of this or that ranking list.  These are comparable schools academically.  Middlebury is the flavor of the month with the finance crowd these days.  But who cares?   When paisley ties come back into fashion, they’ll be enthusiastically wearing them and touting some other school.  That’s a fickle crowd.
I’d be proud to have my D attend any of the three, so if she fits well at all, and if playing the sport really matters then Haverford is your answer.
It’s a an unusual situation you find yourself in based in my experience.

",0,3,3
35,worelyclan,"
@OldbatesieDoc you are right to beware the angry coach.  I have two small college athletes and have been through this process.  That can cause a lot of problems.
As for the schools, I side with the crowd of not basing a life-long decision with the vagaries of this or that ranking list.  These are comparable schools academically.  Middlebury is the flavor of the month with the finance crowd these days.  But who cares?   When paisley ties come back into fashion, they’ll be enthusiastically wearing them and touting some other school.  That’s a fickle crowd.
I’d be proud to have my D attend any of the three, so if she fits well at all, and if playing the sport really matters then Haverford is your answer.
It’s a an unusual situation you find yourself in based in my experience.

",3,3,3
35,worelyclan,"
@OldbatesieDoc you are right to beware the angry coach.  I have two small college athletes and have been through this process.  That can cause a lot of problems.
As for the schools, I side with the crowd of not basing a life-long decision with the vagaries of this or that ranking list.  These are comparable schools academically.  Middlebury is the flavor of the month with the finance crowd these days.  But who cares?   When paisley ties come back into fashion, they’ll be enthusiastically wearing them and touting some other school.  That’s a fickle crowd.
I’d be proud to have my D attend any of the three, so if she fits well at all, and if playing the sport really matters then Haverford is your answer.
It’s a an unusual situation you find yourself in based in my experience.

",1,2,2
37,momcinco,"
Thanks for coming back to let us know.  I am glad your family (especially your daughter!) is happy with her decision.  All the best for a wonderful four years.

",0,0,0
37,momcinco,"
Thanks for coming back to let us know.  I am glad your family (especially your daughter!) is happy with her decision.  All the best for a wonderful four years.

",0,0,0
37,momcinco,"
Thanks for coming back to let us know.  I am glad your family (especially your daughter!) is happy with her decision.  All the best for a wonderful four years.

",1,2,2
38,TheGreyKing,"
Congratulations to your daughter and may she have a wonderful four years at Haverford!

",0,0,0
38,TheGreyKing,"
Congratulations to your daughter and may she have a wonderful four years at Haverford!

",0,0,0
38,TheGreyKing,"
Congratulations to your daughter and may she have a wonderful four years at Haverford!

",1,2,2
39,gardenstategal,"
Happy for you all.  Sounds like a great fit!

",0,0,0
39,gardenstategal,"
Happy for you all.  Sounds like a great fit!

",0,0,0
39,gardenstategal,"
Happy for you all.  Sounds like a great fit!

",1,2,2
40,privatebanker,"
The smith coach isn’t exactly managing the Red Sox. Get a life.  And cost a school a great student. Childish

",0,0,0
40,privatebanker,"
The smith coach isn’t exactly managing the Red Sox. Get a life.  And cost a school a great student. Childish

",2,2,0
40,privatebanker,"
The smith coach isn’t exactly managing the Red Sox. Get a life.  And cost a school a great student. Childish

",1,2,2
41,Midwestmomofboys,"
Hooray, and congrats!  A wonderful outcome, and I wish her well!

",0,0,0
41,Midwestmomofboys,"
Hooray, and congrats!  A wonderful outcome, and I wish her well!

",0,0,0
41,Midwestmomofboys,"
Hooray, and congrats!  A wonderful outcome, and I wish her well!

",1,2,2
42,privatebanker,"
Yes congrats too!

",0,0,0
42,privatebanker,"
Yes congrats too!

",0,0,0
42,privatebanker,"
Yes congrats too!

",1,2,2
43,MamaBear16,"
Congratulations!  I hope she has a wonderful experience at Haverford.

",0,0,0
43,MamaBear16,"
Congratulations!  I hope she has a wonderful experience at Haverford.

",0,2,2
43,MamaBear16,"
Congratulations!  I hope she has a wonderful experience at Haverford.

",1,1,2
44,4Gulls,"
Congrats!  Go buy the t-shirts, sweatshirts, car stickers, etc!

",0,0,0
44,4Gulls,"
Congrats!  Go buy the t-shirts, sweatshirts, car stickers, etc!

",0,0,0
44,4Gulls,"
Congrats!  Go buy the t-shirts, sweatshirts, car stickers, etc!

",1,2,2
