agent,alternatives,comment,dataset,val
A3CF8ULBSE8MTL,"('Dartmouth', 'Cornell', 'JHU')",27.0,210.0,"{'0-1': '0>1', '0-2': '0NA2', '1-2': '1NA2'}"
A3CF8ULBSE8MTL,"('Dartmouth', 'Cornell', 'JHU')",28.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A3CF8ULBSE8MTL,"('Dartmouth', 'Cornell', 'JHU')",29.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1<2'}"
A3CF8ULBSE8MTL,"('Dartmouth', 'Cornell', 'JHU')",30.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A3CF8ULBSE8MTL,"('Dartmouth', 'Cornell', 'JHU')",31.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A3CF8ULBSE8MTL,"('Dartmouth', 'Cornell', 'JHU')",32.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1<2'}"
A3CF8ULBSE8MTL,"('Dartmouth', 'Cornell', 'JHU')",33.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A3CF8ULBSE8MTL,"('Dartmouth', 'Cornell', 'JHU')",34.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A14OQ52EFQAN2W,"('Dartmouth', 'Cornell', 'JHU')",35.0,210.0,"{'0-1': '0<1', '0-2': '0NA2', '1-2': '1>2'}"
A14OQ52EFQAN2W,"('Dartmouth', 'Cornell', 'JHU')",36.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A14OQ52EFQAN2W,"('Dartmouth', 'Cornell', 'JHU')",37.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A14OQ52EFQAN2W,"('Dartmouth', 'Cornell', 'JHU')",38.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A14OQ52EFQAN2W,"('Dartmouth', 'Cornell', 'JHU')",39.0,210.0,"{'0-1': '0NA1', '0-2': '0=2', '1-2': '1NA2'}"
A14OQ52EFQAN2W,"('Dartmouth', 'Cornell', 'JHU')",40.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1=2'}"
A14OQ52EFQAN2W,"('Dartmouth', 'Cornell', 'JHU')",41.0,210.0,"{'0-1': '0>1', '0-2': '0>2', '1-2': '1NA2'}"
A14OQ52EFQAN2W,"('Dartmouth', 'Cornell', 'JHU')",42.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A14OQ52EFQAN2W,"('Dartmouth', 'Cornell', 'JHU')",43.0,210.0,"{'0-1': '0>1', '0-2': '0>2', '1-2': '1NA2'}"
A14OQ52EFQAN2W,"('Dartmouth', 'Cornell', 'JHU')",44.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A14OQ52EFQAN2W,"('Wesleyan', 'William & Mary')",1.0,211.0,{'0-1': '0<1'}
A14OQ52EFQAN2W,"('Wesleyan', 'William & Mary')",2.0,211.0,{'0-1': '0=1'}
A14OQ52EFQAN2W,"('Wesleyan', 'William & Mary')",3.0,211.0,{'0-1': '0>1'}
A14OQ52EFQAN2W,"('Wesleyan', 'William & Mary')",4.0,211.0,{'0-1': '0>1'}
A14OQ52EFQAN2W,"('Wesleyan', 'William & Mary')",5.0,211.0,{'0-1': '0<1'}
A14OQ52EFQAN2W,"('Wesleyan', 'William & Mary')",6.0,211.0,{'0-1': '0NA1'}
A14OQ52EFQAN2W,"('Wesleyan', 'William & Mary')",7.0,211.0,{'0-1': '0=1'}
A14OQ52EFQAN2W,"('Wesleyan', 'William & Mary')",10.0,211.0,{'0-1': '0<1'}
A14OQ52EFQAN2W,"('Wesleyan', 'William & Mary')",11.0,211.0,{'0-1': '0=1'}
A14OQ52EFQAN2W,"('Wesleyan', 'William & Mary')",12.0,211.0,{'0-1': '0NA1'}
A2ML4TEAJTDQD0,"('Dartmouth', 'Cornell', 'JHU')",35.0,210.0,"{'0-1': '0<1', '0-2': '0<2', '1-2': '1>2'}"
A2ML4TEAJTDQD0,"('Dartmouth', 'Cornell', 'JHU')",36.0,210.0,"{'0-1': '0<1', '0-2': '0<2', '1-2': '1>2'}"
A2ML4TEAJTDQD0,"('Dartmouth', 'Cornell', 'JHU')",37.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1<2'}"
A2ML4TEAJTDQD0,"('Dartmouth', 'Cornell', 'JHU')",38.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1>2'}"
A2ML4TEAJTDQD0,"('Dartmouth', 'Cornell', 'JHU')",39.0,210.0,"{'0-1': '0NA1', '0-2': '0=2', '1-2': '1NA2'}"
A2ML4TEAJTDQD0,"('Dartmouth', 'Cornell', 'JHU')",40.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1=2'}"
A2ML4TEAJTDQD0,"('Dartmouth', 'Cornell', 'JHU')",41.0,210.0,"{'0-1': '0NA1', '0-2': '0>2', '1-2': '1NA2'}"
A2ML4TEAJTDQD0,"('Dartmouth', 'Cornell', 'JHU')",42.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A2ML4TEAJTDQD0,"('Dartmouth', 'Cornell', 'JHU')",43.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A2ML4TEAJTDQD0,"('Dartmouth', 'Cornell', 'JHU')",44.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A2ML4TEAJTDQD0,"('Wesleyan', 'William & Mary')",1.0,211.0,{'0-1': '0<1'}
A2ML4TEAJTDQD0,"('Wesleyan', 'William & Mary')",2.0,211.0,{'0-1': '0NA1'}
A2ML4TEAJTDQD0,"('Wesleyan', 'William & Mary')",3.0,211.0,{'0-1': '0NA1'}
A2ML4TEAJTDQD0,"('Wesleyan', 'William & Mary')",4.0,211.0,{'0-1': '0>1'}
A2ML4TEAJTDQD0,"('Wesleyan', 'William & Mary')",5.0,211.0,{'0-1': '0>1'}
A2ML4TEAJTDQD0,"('Wesleyan', 'William & Mary')",6.0,211.0,{'0-1': '0>1'}
A2ML4TEAJTDQD0,"('Wesleyan', 'William & Mary')",7.0,211.0,{'0-1': '0NA1'}
A2ML4TEAJTDQD0,"('Wesleyan', 'William & Mary')",10.0,211.0,{'0-1': '0<1'}
A2ML4TEAJTDQD0,"('Wesleyan', 'William & Mary')",11.0,211.0,{'0-1': '0NA1'}
A2ML4TEAJTDQD0,"('Wesleyan', 'William & Mary')",12.0,211.0,{'0-1': '0<1'}
A3E76V59BKGKCQ,"('Bates', 'Hamilton')",87.0,208.0,{'0-1': '0NA1'}
A3E76V59BKGKCQ,"('Bates', 'Hamilton')",88.0,208.0,{'0-1': '0NA1'}
A3E76V59BKGKCQ,"('Bates', 'Hamilton')",89.0,208.0,{'0-1': '0NA1'}
A3E76V59BKGKCQ,"('Bates', 'Hamilton')",90.0,208.0,{'0-1': '0NA1'}
A3E76V59BKGKCQ,"('Bates', 'Hamilton')",91.0,208.0,{'0-1': '0NA1'}
A3E76V59BKGKCQ,"('Bates', 'Hamilton')",92.0,208.0,{'0-1': '0NA1'}
A3E76V59BKGKCQ,"('Bates', 'Hamilton')",93.0,208.0,{'0-1': '0NA1'}
A3E76V59BKGKCQ,"('Bates', 'Hamilton')",94.0,208.0,{'0-1': '0NA1'}
A3E76V59BKGKCQ,"('Bates', 'Hamilton')",95.0,208.0,{'0-1': '0NA1'}
A3E76V59BKGKCQ,"('Bates', 'Hamilton')",96.0,208.0,{'0-1': '0NA1'}
A3E76V59BKGKCQ,"('Dartmouth', 'Cornell', 'JHU')",15.0,210.0,"{'0-1': '0<1', '0-2': '0<2', '1-2': '1NA2'}"
A3E76V59BKGKCQ,"('Dartmouth', 'Cornell', 'JHU')",16.0,210.0,"{'0-1': '0>1', '0-2': '0>2', '1-2': '1>2'}"
A3E76V59BKGKCQ,"('Dartmouth', 'Cornell', 'JHU')",17.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A3E76V59BKGKCQ,"('Dartmouth', 'Cornell', 'JHU')",18.0,210.0,"{'0-1': '0NA1', '0-2': '0<2', '1-2': '1<2'}"
A3E76V59BKGKCQ,"('Dartmouth', 'Cornell', 'JHU')",19.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A3E76V59BKGKCQ,"('Dartmouth', 'Cornell', 'JHU')",20.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1>2'}"
A3E76V59BKGKCQ,"('Dartmouth', 'Cornell', 'JHU')",21.0,210.0,"{'0-1': '0=1', '0-2': '0NA2', '1-2': '1NA2'}"
A3E76V59BKGKCQ,"('Dartmouth', 'Cornell', 'JHU')",22.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
A3E76V59BKGKCQ,"('Dartmouth', 'Cornell', 'JHU')",23.0,210.0,"{'0-1': '0NA1', '0-2': '0<2', '1-2': '1<2'}"
A3E76V59BKGKCQ,"('Dartmouth', 'Cornell', 'JHU')",24.0,210.0,"{'0-1': '0NA1', '0-2': '0NA2', '1-2': '1NA2'}"
ABF5ENVB19SC4,"('Bates', 'Hamilton')",50.0,208.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('Bates', 'Hamilton')",51.0,208.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('Bates', 'Hamilton')",52.0,208.0,{'0-1': '0=1'}
ABF5ENVB19SC4,"('Bates', 'Hamilton')",53.0,208.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('Bates', 'Hamilton')",54.0,208.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('Bates', 'Hamilton')",55.0,208.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('Bates', 'Hamilton')",56.0,208.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('Bates', 'Hamilton')",57.0,208.0,{'0-1': '0<1'}
ABF5ENVB19SC4,"('Bates', 'Hamilton')",58.0,208.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('Bates', 'Hamilton')",59.0,208.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('U Mich', 'U Virginia')",13.0,209.0,{'0-1': '0=1'}
ABF5ENVB19SC4,"('U Mich', 'U Virginia')",14.0,209.0,{'0-1': '0<1'}
ABF5ENVB19SC4,"('U Mich', 'U Virginia')",15.0,209.0,{'0-1': '0=1'}
ABF5ENVB19SC4,"('U Mich', 'U Virginia')",16.0,209.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('U Mich', 'U Virginia')",18.0,209.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('U Mich', 'U Virginia')",22.0,209.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('U Mich', 'U Virginia')",24.0,209.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('U Mich', 'U Virginia')",26.0,209.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('U Mich', 'U Virginia')",28.0,209.0,{'0-1': '0NA1'}
ABF5ENVB19SC4,"('U Mich', 'U Virginia')",30.0,209.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('Bates', 'Hamilton')",50.0,208.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('Bates', 'Hamilton')",51.0,208.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('Bates', 'Hamilton')",52.0,208.0,{'0-1': '0=1'}
ARGET66XU2CRA,"('Bates', 'Hamilton')",53.0,208.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('Bates', 'Hamilton')",54.0,208.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('Bates', 'Hamilton')",55.0,208.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('Bates', 'Hamilton')",56.0,208.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('Bates', 'Hamilton')",57.0,208.0,{'0-1': '0<1'}
ARGET66XU2CRA,"('Bates', 'Hamilton')",58.0,208.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('Bates', 'Hamilton')",59.0,208.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('U Mich', 'U Virginia')",13.0,209.0,{'0-1': '0>1'}
ARGET66XU2CRA,"('U Mich', 'U Virginia')",14.0,209.0,{'0-1': '0<1'}
ARGET66XU2CRA,"('U Mich', 'U Virginia')",15.0,209.0,{'0-1': '0=1'}
ARGET66XU2CRA,"('U Mich', 'U Virginia')",16.0,209.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('U Mich', 'U Virginia')",18.0,209.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('U Mich', 'U Virginia')",22.0,209.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('U Mich', 'U Virginia')",24.0,209.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('U Mich', 'U Virginia')",26.0,209.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('U Mich', 'U Virginia')",28.0,209.0,{'0-1': '0NA1'}
ARGET66XU2CRA,"('U Mich', 'U Virginia')",30.0,209.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('Bates', 'Hamilton')",60.0,208.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('Bates', 'Hamilton')",62.0,208.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('Bates', 'Hamilton')",63.0,208.0,{'0-1': '0>1'}
A2HJK77HH1IDTM,"('Bates', 'Hamilton')",64.0,208.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('Bates', 'Hamilton')",66.0,208.0,{'0-1': '0=1'}
A2HJK77HH1IDTM,"('Bates', 'Hamilton')",67.0,208.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('Bates', 'Hamilton')",69.0,208.0,{'0-1': '0=1'}
A2HJK77HH1IDTM,"('Bates', 'Hamilton')",70.0,208.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('Bates', 'Hamilton')",73.0,208.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('Bates', 'Hamilton')",75.0,208.0,{'0-1': '0=1'}
A2HJK77HH1IDTM,"('U Mich', 'U Virginia')",31.0,209.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('U Mich', 'U Virginia')",32.0,209.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('U Mich', 'U Virginia')",34.0,209.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('U Mich', 'U Virginia')",35.0,209.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('U Mich', 'U Virginia')",37.0,209.0,{'0-1': '0=1'}
A2HJK77HH1IDTM,"('U Mich', 'U Virginia')",39.0,209.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('U Mich', 'U Virginia')",40.0,209.0,{'0-1': '0>1'}
A2HJK77HH1IDTM,"('U Mich', 'U Virginia')",41.0,209.0,{'0-1': '0>1'}
A2HJK77HH1IDTM,"('U Mich', 'U Virginia')",43.0,209.0,{'0-1': '0NA1'}
A2HJK77HH1IDTM,"('U Mich', 'U Virginia')",44.0,209.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('Bates', 'Hamilton')",39.0,208.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('Bates', 'Hamilton')",41.0,208.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('Bates', 'Hamilton')",42.0,208.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('Bates', 'Hamilton')",43.0,208.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('Bates', 'Hamilton')",44.0,208.0,{'0-1': '0NA1'}
AJZEXCH1TSUE1,"('Bates', 'Hamilton')",45.0,208.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('Bates', 'Hamilton')",46.0,208.0,{'0-1': '0NA1'}
AJZEXCH1TSUE1,"('Bates', 'Hamilton')",47.0,208.0,{'0-1': '0NA1'}
AJZEXCH1TSUE1,"('Bates', 'Hamilton')",48.0,208.0,{'0-1': '0NA1'}
AJZEXCH1TSUE1,"('Bates', 'Hamilton')",49.0,208.0,{'0-1': '0NA1'}
AJZEXCH1TSUE1,"('U Mich', 'U Virginia')",1.0,209.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('U Mich', 'U Virginia')",2.0,209.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('U Mich', 'U Virginia')",3.0,209.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('U Mich', 'U Virginia')",4.0,209.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('U Mich', 'U Virginia')",5.0,209.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('U Mich', 'U Virginia')",6.0,209.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('U Mich', 'U Virginia')",7.0,209.0,{'0-1': '0=1'}
AJZEXCH1TSUE1,"('U Mich', 'U Virginia')",10.0,209.0,{'0-1': '0>1'}
AJZEXCH1TSUE1,"('U Mich', 'U Virginia')",11.0,209.0,{'0-1': '0>1'}
AJZEXCH1TSUE1,"('U Mich', 'U Virginia')",12.0,209.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Cornell', 'U Mich')",36.0,207.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Cornell', 'U Mich')",37.0,207.0,{'0-1': '0NA1'}
AGFYWCPRQIB6O,"('Cornell', 'U Mich')",38.0,207.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Cornell', 'U Mich')",39.0,207.0,{'0-1': '0NA1'}
AGFYWCPRQIB6O,"('Cornell', 'U Mich')",41.0,207.0,{'0-1': '0<1'}
AGFYWCPRQIB6O,"('Cornell', 'U Mich')",42.0,207.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Cornell', 'U Mich')",43.0,207.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Cornell', 'U Mich')",44.0,207.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Cornell', 'U Mich')",45.0,207.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Cornell', 'U Mich')",46.0,207.0,{'0-1': '0NA1'}
AGFYWCPRQIB6O,"('Bates', 'Hamilton')",27.0,208.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Bates', 'Hamilton')",28.0,208.0,{'0-1': '0<1'}
AGFYWCPRQIB6O,"('Bates', 'Hamilton')",29.0,208.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Bates', 'Hamilton')",30.0,208.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Bates', 'Hamilton')",32.0,208.0,{'0-1': '0NA1'}
AGFYWCPRQIB6O,"('Bates', 'Hamilton')",33.0,208.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Bates', 'Hamilton')",34.0,208.0,{'0-1': '0=1'}
AGFYWCPRQIB6O,"('Bates', 'Hamilton')",35.0,208.0,{'0-1': '0=1'}
AGFYWCPRQIB6O,"('Bates', 'Hamilton')",36.0,208.0,{'0-1': '0>1'}
AGFYWCPRQIB6O,"('Bates', 'Hamilton')",38.0,208.0,{'0-1': '0<1'}
A3388HIWAKD3DV,"('Cornell', 'U Mich')",25.0,207.0,{'0-1': '0<1'}
A3388HIWAKD3DV,"('Cornell', 'U Mich')",26.0,207.0,{'0-1': '0>1'}
A3388HIWAKD3DV,"('Cornell', 'U Mich')",27.0,207.0,{'0-1': '0=1'}
A3388HIWAKD3DV,"('Cornell', 'U Mich')",28.0,207.0,{'0-1': '0<1'}
A3388HIWAKD3DV,"('Cornell', 'U Mich')",29.0,207.0,{'0-1': '0=1'}
A3388HIWAKD3DV,"('Cornell', 'U Mich')",30.0,207.0,{'0-1': '0>1'}
A3388HIWAKD3DV,"('Cornell', 'U Mich')",31.0,207.0,{'0-1': '0<1'}
A3388HIWAKD3DV,"('Cornell', 'U Mich')",32.0,207.0,{'0-1': '0NA1'}
A3388HIWAKD3DV,"('Cornell', 'U Mich')",33.0,207.0,{'0-1': '0<1'}
A3388HIWAKD3DV,"('Cornell', 'U Mich')",34.0,207.0,{'0-1': '0>1'}
A3388HIWAKD3DV,"('Bates', 'Hamilton')",11.0,208.0,{'0-1': '0<1'}
A3388HIWAKD3DV,"('Bates', 'Hamilton')",13.0,208.0,{'0-1': '0=1'}
A3388HIWAKD3DV,"('Bates', 'Hamilton')",14.0,208.0,{'0-1': '0>1'}
A3388HIWAKD3DV,"('Bates', 'Hamilton')",15.0,208.0,{'0-1': '0NA1'}
A3388HIWAKD3DV,"('Bates', 'Hamilton')",17.0,208.0,{'0-1': '0<1'}
A3388HIWAKD3DV,"('Bates', 'Hamilton')",21.0,208.0,{'0-1': '0=1'}
A3388HIWAKD3DV,"('Bates', 'Hamilton')",22.0,208.0,{'0-1': '0>1'}
A3388HIWAKD3DV,"('Bates', 'Hamilton')",23.0,208.0,{'0-1': '0=1'}
A3388HIWAKD3DV,"('Bates', 'Hamilton')",24.0,208.0,{'0-1': '0<1'}
A3388HIWAKD3DV,"('Bates', 'Hamilton')",25.0,208.0,{'0-1': '0=1'}
A2QB6CNRRXJYJD,"('Cornell', 'U Mich')",36.0,207.0,{'0-1': '0>1'}
A2QB6CNRRXJYJD,"('Cornell', 'U Mich')",37.0,207.0,{'0-1': '0>1'}
A2QB6CNRRXJYJD,"('Cornell', 'U Mich')",38.0,207.0,{'0-1': '0>1'}
A2QB6CNRRXJYJD,"('Cornell', 'U Mich')",39.0,207.0,{'0-1': '0<1'}
A2QB6CNRRXJYJD,"('Cornell', 'U Mich')",41.0,207.0,{'0-1': '0<1'}
A2QB6CNRRXJYJD,"('Cornell', 'U Mich')",42.0,207.0,{'0-1': '0>1'}
A2QB6CNRRXJYJD,"('Cornell', 'U Mich')",43.0,207.0,{'0-1': '0=1'}
A2QB6CNRRXJYJD,"('Cornell', 'U Mich')",44.0,207.0,{'0-1': '0=1'}
A2QB6CNRRXJYJD,"('Cornell', 'U Mich')",45.0,207.0,{'0-1': '0NA1'}
A2QB6CNRRXJYJD,"('Cornell', 'U Mich')",46.0,207.0,{'0-1': '0NA1'}
A2QB6CNRRXJYJD,"('Bates', 'Hamilton')",27.0,208.0,{'0-1': '0>1'}
A2QB6CNRRXJYJD,"('Bates', 'Hamilton')",28.0,208.0,{'0-1': '0<1'}
A2QB6CNRRXJYJD,"('Bates', 'Hamilton')",29.0,208.0,{'0-1': '0>1'}
A2QB6CNRRXJYJD,"('Bates', 'Hamilton')",30.0,208.0,{'0-1': '0>1'}
A2QB6CNRRXJYJD,"('Bates', 'Hamilton')",32.0,208.0,{'0-1': '0NA1'}
A2QB6CNRRXJYJD,"('Bates', 'Hamilton')",33.0,208.0,{'0-1': '0>1'}
A2QB6CNRRXJYJD,"('Bates', 'Hamilton')",34.0,208.0,{'0-1': '0=1'}
A2QB6CNRRXJYJD,"('Bates', 'Hamilton')",35.0,208.0,{'0-1': '0=1'}
A2QB6CNRRXJYJD,"('Bates', 'Hamilton')",36.0,208.0,{'0-1': '0>1'}
A2QB6CNRRXJYJD,"('Bates', 'Hamilton')",38.0,208.0,{'0-1': '0<1'}
A1PMOFOXDM4ZLR,"('Cornell', 'U Mich')",36.0,207.0,{'0-1': '0NA1'}
A1PMOFOXDM4ZLR,"('Cornell', 'U Mich')",37.0,207.0,{'0-1': '0>1'}
A1PMOFOXDM4ZLR,"('Cornell', 'U Mich')",38.0,207.0,{'0-1': '0>1'}
