Dataset,Comment,Alternative1,Alternative2,Label
209,30,University of Michigan,University of Virginia,0
208,60,Bates College,Hamilton College,0
208,62,Bates College,Hamilton College,0
208,63,Bates College,Hamilton College,1
208,64,Bates College,Hamilton College,0
208,66,Bates College,Hamilton College,0
208,67,Bates College,Hamilton College,0
208,69,Bates College,Hamilton College,1
208,70,Bates College,Hamilton College,0
208,73,Bates College,Hamilton College,0
208,75,Bates College,Hamilton College,0
209,31,University of Michigan,University of Virginia,0
209,32,University of Michigan,University of Virginia,0
209,34,University of Michigan,University of Virginia,0
209,35,University of Michigan,University of Virginia,0
209,37,University of Michigan,University of Virginia,0
209,39,University of Michigan,University of Virginia,0
209,40,University of Michigan,University of Virginia,1
209,41,University of Michigan,University of Virginia,1
209,43,University of Michigan,University of Virginia,0
209,44,University of Michigan,University of Virginia,3
208,39,Bates College,Hamilton College,3
208,41,Bates College,Hamilton College,3
208,42,Bates College,Hamilton College,3
208,43,Bates College,Hamilton College,3
208,44,Bates College,Hamilton College,0
208,45,Bates College,Hamilton College,0
208,46,Bates College,Hamilton College,0
208,47,Bates College,Hamilton College,0
208,48,Bates College,Hamilton College,0
208,49,Bates College,Hamilton College,0
209,1,University of Michigan,University of Virginia,3
209,2,University of Michigan,University of Virginia,3
209,3,University of Michigan,University of Virginia,3
209,4,University of Michigan,University of Virginia,3
209,5,University of Michigan,University of Virginia,3
209,6,University of Michigan,University of Virginia,3
209,7,University of Michigan,University of Virginia,3
209,10,University of Michigan,University of Virginia,1
209,11,University of Michigan,University of Virginia,1
209,12,University of Michigan,University of Virginia,1
207,36,Cornell University,University of Michigan,1
207,37,Cornell University,University of Michigan,1
207,38,Cornell University,University of Michigan,1
207,39,Cornell University,University of Michigan,0
207,41,Cornell University,University of Michigan,2
207,42,Cornell University,University of Michigan,1
207,43,Cornell University,University of Michigan,1
207,44,Cornell University,University of Michigan,1
207,45,Cornell University,University of Michigan,1
207,46,Cornell University,University of Michigan,0
208,27,Bates College,Hamilton College,1
208,28,Bates College,Hamilton College,2
208,29,Bates College,Hamilton College,1
208,30,Bates College,Hamilton College,1
208,32,Bates College,Hamilton College,0
208,33,Bates College,Hamilton College,1
208,34,Bates College,Hamilton College,3
208,35,Bates College,Hamilton College,3
208,36,Bates College,Hamilton College,1
208,38,Bates College,Hamilton College,2
207,25,Cornell University,University of Michigan,2
207,26,Cornell University,University of Michigan,1
207,27,Cornell University,University of Michigan,1
207,28,Cornell University,University of Michigan,1
207,29,Cornell University,University of Michigan,1
207,30,Cornell University,University of Michigan,1
207,31,Cornell University,University of Michigan,2
207,32,Cornell University,University of Michigan,1
207,33,Cornell University,University of Michigan,1
207,34,Cornell University,University of Michigan,3
208,11,Bates College,Hamilton College,3
208,13,Bates College,Hamilton College,2
208,14,Bates College,Hamilton College,1
208,15,Bates College,Hamilton College,0
208,17,Bates College,Hamilton College,3
208,21,Bates College,Hamilton College,3
208,22,Bates College,Hamilton College,1
208,23,Bates College,Hamilton College,2
208,24,Bates College,Hamilton College,1
208,25,Bates College,Hamilton College,3
207,15,Cornell University,University of Michigan,1
207,16,Cornell University,University of Michigan,1
207,17,Cornell University,University of Michigan,2
207,18,Cornell University,University of Michigan,1
207,19,Cornell University,University of Michigan,1
207,20,Cornell University,University of Michigan,3
207,21,Cornell University,University of Michigan,1
207,22,Cornell University,University of Michigan,2
207,23,Cornell University,University of Michigan,1
207,24,Cornell University,University of Michigan,1
208,1,Bates College,Hamilton College,2
208,2,Bates College,Hamilton College,2
208,3,Bates College,Hamilton College,3
208,4,Bates College,Hamilton College,3
208,5,Bates College,Hamilton College,2
208,6,Bates College,Hamilton College,2
208,7,Bates College,Hamilton College,2
208,8,Bates College,Hamilton College,2
208,9,Bates College,Hamilton College,1
208,10,Bates College,Hamilton College,2
205,66,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,67,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,68,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,69,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,70,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,71,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,72,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,73,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,76,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,77,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
206,33,University of Pittsburgh,Yale University,0
206,34,University of Pittsburgh,Yale University,0
206,35,University of Pittsburgh,Yale University,0
206,36,University of Pittsburgh,Yale University,0
206,37,University of Pittsburgh,Yale University,0
206,38,University of Pittsburgh,Yale University,0
206,39,University of Pittsburgh,Yale University,0
206,40,University of Pittsburgh,Yale University,0
206,41,University of Pittsburgh,Yale University,0
206,42,University of Pittsburgh,Yale University,0
205,50,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,53,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,54,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,55,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,59,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,60,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,61,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,62,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,64,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,65,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
206,23,University of Pittsburgh,Yale University,0
206,24,University of Pittsburgh,Yale University,1
206,25,University of Pittsburgh,Yale University,0
206,26,University of Pittsburgh,Yale University,2
206,27,University of Pittsburgh,Yale University,2
206,28,University of Pittsburgh,Yale University,2
206,29,University of Pittsburgh,Yale University,0
206,30,University of Pittsburgh,Yale University,0
206,31,University of Pittsburgh,Yale University,0
206,32,University of Pittsburgh,Yale University,0
205,14,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,15,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,16,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,19,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,20,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,21,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,22,Franklin W. Olin College of Engineering,Georgia Institute of Technology,3
205,23,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,24,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,25,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
206,1,University of Pittsburgh,Yale University,2
206,2,University of Pittsburgh,Yale University,2
206,3,University of Pittsburgh,Yale University,1
206,4,University of Pittsburgh,Yale University,3
206,5,University of Pittsburgh,Yale University,1
206,6,University of Pittsburgh,Yale University,0
206,7,University of Pittsburgh,Yale University,0
206,9,University of Pittsburgh,Yale University,1
206,10,University of Pittsburgh,Yale University,1
206,12,University of Pittsburgh,Yale University,2
201,49,University of Pennsylvania,Yale University,0
201,50,University of Pennsylvania,Yale University,0
201,51,University of Pennsylvania,Yale University,0
201,52,University of Pennsylvania,Yale University,0
201,53,University of Pennsylvania,Yale University,0
201,54,University of Pennsylvania,Yale University,0
201,55,University of Pennsylvania,Yale University,0
201,56,University of Pennsylvania,Yale University,0
201,57,University of Pennsylvania,Yale University,0
201,58,University of Pennsylvania,Yale University,0
205,1,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,2,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,3,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,4,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,5,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,8,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,9,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,10,Franklin W. Olin College of Engineering,Georgia Institute of Technology,3
205,12,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,13,Franklin W. Olin College of Engineering,Georgia Institute of Technology,0
205,26,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,33,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,34,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,35,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,36,Franklin W. Olin College of Engineering,Georgia Institute of Technology,3
205,37,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,42,Franklin W. Olin College of Engineering,Georgia Institute of Technology,2
205,43,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,47,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
205,49,Franklin W. Olin College of Engineering,Georgia Institute of Technology,1
206,13,University of Pittsburgh,Yale University,2
206,14,University of Pittsburgh,Yale University,2
206,15,University of Pittsburgh,Yale University,1
206,16,University of Pittsburgh,Yale University,2
206,17,University of Pittsburgh,Yale University,1
206,18,University of Pittsburgh,Yale University,2
206,19,University of Pittsburgh,Yale University,1
206,20,University of Pittsburgh,Yale University,2
206,21,University of Pittsburgh,Yale University,2
206,22,University of Pittsburgh,Yale University,2
200,32,Carleton College,Amherst College,1
200,33,Carleton College,Amherst College,0
200,34,Carleton College,Amherst College,3
200,35,Carleton College,Amherst College,1
200,36,Carleton College,Amherst College,0
200,37,Carleton College,Amherst College,3
200,38,Carleton College,Amherst College,2
200,39,Carleton College,Amherst College,1
200,40,Carleton College,Amherst College,1
200,41,Carleton College,Amherst College,1
201,28,University of Pennsylvania,Yale University,3
201,29,University of Pennsylvania,Yale University,3
201,30,University of Pennsylvania,Yale University,1
201,31,University of Pennsylvania,Yale University,3
201,32,University of Pennsylvania,Yale University,2
201,33,University of Pennsylvania,Yale University,0
201,34,University of Pennsylvania,Yale University,2
201,35,University of Pennsylvania,Yale University,0
201,36,University of Pennsylvania,Yale University,0
201,37,University of Pennsylvania,Yale University,1
200,22,Carleton College,Amherst College,0
200,23,Carleton College,Amherst College,3
200,24,Carleton College,Amherst College,0
200,25,Carleton College,Amherst College,3
200,26,Carleton College,Amherst College,1
200,27,Carleton College,Amherst College,3
200,28,Carleton College,Amherst College,3
200,29,Carleton College,Amherst College,1
200,30,Carleton College,Amherst College,0
200,31,Carleton College,Amherst College,3
201,18,University of Pennsylvania,Yale University,0
201,19,University of Pennsylvania,Yale University,2
201,20,University of Pennsylvania,Yale University,1
201,21,University of Pennsylvania,Yale University,0
201,22,University of Pennsylvania,Yale University,2
201,23,University of Pennsylvania,Yale University,1
201,24,University of Pennsylvania,Yale University,1
201,25,University of Pennsylvania,Yale University,0
201,26,University of Pennsylvania,Yale University,1
201,27,University of Pennsylvania,Yale University,0
200,11,Carleton College,Amherst College,3
200,12,Carleton College,Amherst College,3
200,13,Carleton College,Amherst College,0
200,14,Carleton College,Amherst College,2
200,15,Carleton College,Amherst College,1
200,16,Carleton College,Amherst College,1
200,17,Carleton College,Amherst College,1
200,18,Carleton College,Amherst College,0
200,19,Carleton College,Amherst College,2
200,20,Carleton College,Amherst College,2
201,2,University of Pennsylvania,Yale University,1
201,4,University of Pennsylvania,Yale University,1
201,6,University of Pennsylvania,Yale University,1
201,7,University of Pennsylvania,Yale University,2
201,8,University of Pennsylvania,Yale University,3
201,9,University of Pennsylvania,Yale University,0
201,11,University of Pennsylvania,Yale University,2
201,12,University of Pennsylvania,Yale University,0
201,13,University of Pennsylvania,Yale University,0
201,16,University of Pennsylvania,Yale University,1
199,38,University of North Carolina at Chapel Hill,Boston College,0
199,39,University of North Carolina at Chapel Hill,Boston College,1
199,40,University of North Carolina at Chapel Hill,Boston College,0
199,41,University of North Carolina at Chapel Hill,Boston College,3
199,42,University of North Carolina at Chapel Hill,Boston College,1
199,43,University of North Carolina at Chapel Hill,Boston College,2
199,44,University of North Carolina at Chapel Hill,Boston College,0
199,45,University of North Carolina at Chapel Hill,Boston College,1
199,46,University of North Carolina at Chapel Hill,Boston College,3
199,47,University of North Carolina at Chapel Hill,Boston College,2
200,1,Carleton College,Amherst College,0
200,2,Carleton College,Amherst College,1
200,3,Carleton College,Amherst College,2
200,4,Carleton College,Amherst College,2
200,5,Carleton College,Amherst College,1
200,6,Carleton College,Amherst College,3
200,7,Carleton College,Amherst College,1
200,8,Carleton College,Amherst College,1
200,9,Carleton College,Amherst College,1
200,10,Carleton College,Amherst College,0
198,28,McGill University,Mount Holyoke College,1
198,29,McGill University,Mount Holyoke College,1
198,30,McGill University,Mount Holyoke College,1
198,31,McGill University,Mount Holyoke College,1
198,32,McGill University,Mount Holyoke College,0
198,33,McGill University,Mount Holyoke College,1
198,34,McGill University,Mount Holyoke College,3
198,35,McGill University,Mount Holyoke College,1
198,38,McGill University,Mount Holyoke College,2
198,39,McGill University,Mount Holyoke College,0
199,12,University of North Carolina at Chapel Hill,Boston College,2
199,13,University of North Carolina at Chapel Hill,Boston College,3
199,15,University of North Carolina at Chapel Hill,Boston College,1
199,16,University of North Carolina at Chapel Hill,Boston College,0
199,17,University of North Carolina at Chapel Hill,Boston College,1
199,19,University of North Carolina at Chapel Hill,Boston College,1
199,20,University of North Carolina at Chapel Hill,Boston College,1
199,21,University of North Carolina at Chapel Hill,Boston College,1
199,23,University of North Carolina at Chapel Hill,Boston College,3
199,24,University of North Carolina at Chapel Hill,Boston College,0
197,33,University of Chicago,Stanford University,2
197,34,University of Chicago,Stanford University,0
197,36,University of Chicago,Stanford University,0
197,37,University of Chicago,Stanford University,2
197,38,University of Chicago,Stanford University,3
197,39,University of Chicago,Stanford University,2
197,40,University of Chicago,Stanford University,0
197,41,University of Chicago,Stanford University,0
197,42,University of Chicago,Stanford University,1
197,43,University of Chicago,Stanford University,2
198,1,McGill University,Mount Holyoke College,0
198,3,McGill University,Mount Holyoke College,0
198,4,McGill University,Mount Holyoke College,0
198,5,McGill University,Mount Holyoke College,3
198,7,McGill University,Mount Holyoke College,0
198,8,McGill University,Mount Holyoke College,0
198,9,McGill University,Mount Holyoke College,0
198,10,McGill University,Mount Holyoke College,0
198,14,McGill University,Mount Holyoke College,0
198,15,McGill University,Mount Holyoke College,1
196,17,North Carolina State University,Syracuse University,0
196,19,North Carolina State University,Syracuse University,2
196,21,North Carolina State University,Syracuse University,1
196,22,North Carolina State University,Syracuse University,1
196,23,North Carolina State University,Syracuse University,0
196,24,North Carolina State University,Syracuse University,0
196,25,North Carolina State University,Syracuse University,0
196,27,North Carolina State University,Syracuse University,1
196,29,North Carolina State University,Syracuse University,0
196,30,North Carolina State University,Syracuse University,1
197,12,University of Chicago,Stanford University,3
197,13,University of Chicago,Stanford University,1
197,14,University of Chicago,Stanford University,3
197,15,University of Chicago,Stanford University,1
197,16,University of Chicago,Stanford University,2
197,17,University of Chicago,Stanford University,0
197,18,University of Chicago,Stanford University,0
197,19,University of Chicago,Stanford University,0
197,20,University of Chicago,Stanford University,2
197,21,University of Chicago,Stanford University,2
196,1,North Carolina State University,Syracuse University,2
196,2,North Carolina State University,Syracuse University,2
196,4,North Carolina State University,Syracuse University,2
196,5,North Carolina State University,Syracuse University,1
196,7,North Carolina State University,Syracuse University,1
196,9,North Carolina State University,Syracuse University,1
196,10,North Carolina State University,Syracuse University,3
196,11,North Carolina State University,Syracuse University,1
196,14,North Carolina State University,Syracuse University,0
196,16,North Carolina State University,Syracuse University,0
197,1,University of Chicago,Stanford University,2
197,2,University of Chicago,Stanford University,3
197,3,University of Chicago,Stanford University,1
197,4,University of Chicago,Stanford University,3
197,5,University of Chicago,Stanford University,2
197,7,University of Chicago,Stanford University,2
197,8,University of Chicago,Stanford University,0
197,9,University of Chicago,Stanford University,3
197,10,University of Chicago,Stanford University,1
197,11,University of Chicago,Stanford University,1
198,16,McGill University,Mount Holyoke College,3
198,18,McGill University,Mount Holyoke College,0
198,19,McGill University,Mount Holyoke College,0
198,20,McGill University,Mount Holyoke College,0
198,21,McGill University,Mount Holyoke College,0
198,23,McGill University,Mount Holyoke College,0
198,24,McGill University,Mount Holyoke College,0
198,25,McGill University,Mount Holyoke College,2
198,26,McGill University,Mount Holyoke College,0
198,27,McGill University,Mount Holyoke College,2
199,1,University of North Carolina at Chapel Hill,Boston College,0
199,2,University of North Carolina at Chapel Hill,Boston College,0
199,3,University of North Carolina at Chapel Hill,Boston College,0
199,4,University of North Carolina at Chapel Hill,Boston College,2
199,5,University of North Carolina at Chapel Hill,Boston College,0
199,6,University of North Carolina at Chapel Hill,Boston College,1
199,7,University of North Carolina at Chapel Hill,Boston College,1
199,8,University of North Carolina at Chapel Hill,Boston College,3
199,10,University of North Carolina at Chapel Hill,Boston College,1
199,11,University of North Carolina at Chapel Hill,Boston College,1
193,123,Columbia University,University of Michigan,0
193,124,Columbia University,University of Michigan,0
193,125,Columbia University,University of Michigan,0
193,126,Columbia University,University of Michigan,3
193,127,Columbia University,University of Michigan,2
193,128,Columbia University,University of Michigan,1
193,129,Columbia University,University of Michigan,1
193,130,Columbia University,University of Michigan,3
193,131,Columbia University,University of Michigan,2
193,132,Columbia University,University of Michigan,0
195,16,Bates College,Bowdoin College,1
195,16,Bates College,Middlebury College,0
195,16,Bowdoin College,Middlebury College,0
195,17,Bates College,Bowdoin College,0
195,17,Bates College,Middlebury College,0
195,17,Bowdoin College,Middlebury College,2
195,18,Bates College,Bowdoin College,0
195,18,Bates College,Middlebury College,3
195,18,Bowdoin College,Middlebury College,0
195,19,Bates College,Bowdoin College,1
195,19,Bates College,Middlebury College,1
195,19,Bowdoin College,Middlebury College,0
195,21,Bates College,Bowdoin College,3
195,21,Bates College,Middlebury College,3
195,21,Bowdoin College,Middlebury College,3
195,22,Bates College,Bowdoin College,1
195,22,Bates College,Middlebury College,0
195,22,Bowdoin College,Middlebury College,0
195,23,Bates College,Bowdoin College,0
195,23,Bates College,Middlebury College,0
195,23,Bowdoin College,Middlebury College,0
195,25,Bates College,Bowdoin College,3
195,25,Bates College,Middlebury College,0
195,25,Bowdoin College,Middlebury College,2
195,27,Bates College,Bowdoin College,3
195,27,Bates College,Middlebury College,3
195,27,Bowdoin College,Middlebury College,3
195,28,Bates College,Bowdoin College,1
195,28,Bates College,Middlebury College,3
195,28,Bowdoin College,Middlebury College,2
193,91,Columbia University,University of Michigan,1
193,92,Columbia University,University of Michigan,0
193,93,Columbia University,University of Michigan,2
193,94,Columbia University,University of Michigan,0
193,95,Columbia University,University of Michigan,0
193,96,Columbia University,University of Michigan,0
193,98,Columbia University,University of Michigan,0
193,99,Columbia University,University of Michigan,0
193,101,Columbia University,University of Michigan,3
193,102,Columbia University,University of Michigan,2
194,11,Amherst College,Harvey Mudd College,0
194,12,Amherst College,Harvey Mudd College,0
194,13,Amherst College,Harvey Mudd College,0
194,14,Amherst College,Harvey Mudd College,1
194,15,Amherst College,Harvey Mudd College,0
194,16,Amherst College,Harvey Mudd College,0
194,29,Amherst College,Harvey Mudd College,1
194,30,Amherst College,Harvey Mudd College,1
194,31,Amherst College,Harvey Mudd College,0
194,32,Amherst College,Harvey Mudd College,0
193,81,Columbia University,University of Michigan,1
193,82,Columbia University,University of Michigan,2
193,83,Columbia University,University of Michigan,1
193,84,Columbia University,University of Michigan,1
193,85,Columbia University,University of Michigan,2
193,86,Columbia University,University of Michigan,1
193,87,Columbia University,University of Michigan,1
193,88,Columbia University,University of Michigan,0
193,89,Columbia University,University of Michigan,0
193,90,Columbia University,University of Michigan,2
194,1,Amherst College,Harvey Mudd College,1
194,2,Amherst College,Harvey Mudd College,2
194,3,Amherst College,Harvey Mudd College,3
194,4,Amherst College,Harvey Mudd College,3
194,5,Amherst College,Harvey Mudd College,3
194,6,Amherst College,Harvey Mudd College,0
194,7,Amherst College,Harvey Mudd College,0
194,8,Amherst College,Harvey Mudd College,1
194,9,Amherst College,Harvey Mudd College,2
194,10,Amherst College,Harvey Mudd College,1
191,91,Stanford University,Princeton University,3
191,92,Stanford University,Princeton University,1
191,93,Stanford University,Princeton University,3
191,94,Stanford University,Princeton University,1
191,95,Stanford University,Princeton University,1
191,96,Stanford University,Princeton University,0
191,97,Stanford University,Princeton University,1
191,98,Stanford University,Princeton University,0
191,99,Stanford University,Princeton University,0
191,100,Stanford University,Princeton University,0
193,71,Columbia University,University of Michigan,2
193,72,Columbia University,University of Michigan,0
193,73,Columbia University,University of Michigan,0
193,74,Columbia University,University of Michigan,2
193,75,Columbia University,University of Michigan,0
193,76,Columbia University,University of Michigan,2
193,77,Columbia University,University of Michigan,0
193,78,Columbia University,University of Michigan,2
193,79,Columbia University,University of Michigan,0
193,80,Columbia University,University of Michigan,0
193,113,Columbia University,University of Michigan,1
193,114,Columbia University,University of Michigan,0
193,115,Columbia University,University of Michigan,0
193,116,Columbia University,University of Michigan,0
193,117,Columbia University,University of Michigan,0
193,118,Columbia University,University of Michigan,0
193,119,Columbia University,University of Michigan,0
193,120,Columbia University,University of Michigan,1
193,121,Columbia University,University of Michigan,0
193,122,Columbia University,University of Michigan,0
195,2,Bates College,Bowdoin College,3
195,2,Bates College,Middlebury College,3
195,2,Bowdoin College,Middlebury College,3
195,3,Bates College,Bowdoin College,3
195,3,Bates College,Middlebury College,3
195,3,Bowdoin College,Middlebury College,3
195,4,Bates College,Bowdoin College,3
195,4,Bates College,Middlebury College,3
195,4,Bowdoin College,Middlebury College,1
195,5,Bates College,Bowdoin College,0
195,5,Bates College,Middlebury College,0
195,5,Bowdoin College,Middlebury College,1
195,7,Bates College,Bowdoin College,3
195,7,Bates College,Middlebury College,0
195,7,Bowdoin College,Middlebury College,1
195,8,Bates College,Bowdoin College,1
195,8,Bates College,Middlebury College,3
195,8,Bowdoin College,Middlebury College,1
195,9,Bates College,Bowdoin College,0
195,9,Bates College,Middlebury College,0
195,9,Bowdoin College,Middlebury College,3
195,10,Bates College,Bowdoin College,3
195,10,Bates College,Middlebury College,3
